SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
1,ADANIENT,2024-01-01,2852.30,2917.20,2947.00,2842.05,2916.02,2898619
2,ADANIENT,2024-01-02,2922.00,2932.40,2948.20,2841.00,2931.22,2671368
3,ADANIENT,2024-01-03,3047.00,3003.00,3199.00,2955.60,3001.79,19725411
4,ADANIENT,2024-01-04,3039.40,2998.30,3044.45,2990.00,2997.09,2975620
5,ADANIENT,2024-01-05,3009.95,3006.60,3066.90,2981.10,3005.39,3219949
6,ADANIENT,2024-01-08,3020.00,2963.50,3027.00,2952.95,2962.31,1849061
7,ADANIENT,2024-01-09,2990.70,3014.60,3068.80,2980.00,3013.39,2885706
8,ADANIENT,2024-01-10,3024.00,3098.20,3112.00,3020.05,3096.95,3590297
9,ADANIENT,2024-01-11,3120.00,3080.90,3129.00,3065.00,3079.66,2008103
10,ADANIENT,2024-01-12,3096.35,3104.10,3125.00,3068.20,3102.85,1795933
11,ADANIENT,2024-01-15,3127.00,3089.50,3130.00,3067.45,3088.25,1407007
12,ADANIENT,2024-01-16,3095.00,3056.50,3104.50,3035.00,3055.27,2515564
13,ADANIENT,2024-01-17,3033.00,2971.05,3045.00,2946.30,2969.85,2897218
14,ADANIENT,2024-01-18,2975.55,2918.90,2985.00,2885.10,2917.72,2552342
15,ADANIENT,2024-01-19,2945.35,2915.65,2949.45,2903.05,2914.47,2014096
16,ADANIENT,2024-01-23,3014.95,2896.55,3014.95,2885.50,2895.38,1827002
17,ADANIENT,2024-01-24,2901.00,2903.45,2929.10,2871.25,2902.28,5807940
18,ADANIENT,2024-01-25,2903.45,2893.60,2926.35,2804.40,2892.43,2601969
19,ADANIENT,2024-01-29,2929.00,3064.65,3092.70,2923.05,3063.41,4402976
20,ADANIENT,2024-01-30,3081.00,3091.10,3129.90,3020.90,3089.85,3115506
21,ADANIENT,2024-01-31,3092.75,3142.00,3151.70,3072.40,3140.73,2671051
22,ADANIENT,2024-02-01,3156.90,3153.50,3236.95,3083.05,3152.23,4686595
23,ADANIENT,2024-02-02,3184.95,3157.45,3208.50,3140.00,3156.18,2708695
24,ADANIENT,2024-02-05,3170.00,3173.45,3229.40,3151.45,3172.17,2191195
25,ADANIENT,2024-02-06,3183.90,3203.75,3228.20,3160.00,3202.46,2078891
26,ADANIENT,2024-02-07,3220.05,3229.85,3277.95,3210.00,3228.55,2095911
27,ADANIENT,2024-02-08,3245.60,3168.60,3245.60,3146.10,3167.32,1679004
28,ADANIENT,2024-02-09,3184.45,3215.20,3224.95,3121.20,3213.90,1572789
29,ADANIENT,2024-02-12,3229.00,3169.75,3241.95,3160.00,3168.47,1083138
30,ADANIENT,2024-02-13,3180.00,3178.45,3194.00,3092.05,3177.17,1225207
31,ADANIENT,2024-02-14,3184.00,3207.20,3255.25,3169.85,3205.91,1741264
32,ADANIENT,2024-02-15,3219.85,3193.80,3252.75,3184.05,3192.51,2035204
33,ADANIENT,2024-02-16,3214.00,3223.60,3252.30,3192.65,3222.30,2193673
34,ADANIENT,2024-02-19,3240.00,3258.80,3308.60,3235.80,3257.49,1779444
35,ADANIENT,2024-02-20,3267.00,3228.60,3269.80,3210.15,3227.30,1467630
36,ADANIENT,2024-02-21,3238.00,3223.20,3300.00,3205.00,3221.90,1657021
37,ADANIENT,2024-02-22,3239.00,3263.05,3274.00,3210.50,3261.73,1138722
38,ADANIENT,2024-02-23,3263.05,3273.30,3319.95,3225.10,3271.98,1975035
39,ADANIENT,2024-02-26,3272.00,3327.75,3344.00,3263.00,3326.41,1695378
40,ADANIENT,2024-02-27,3339.00,3302.30,3340.00,3273.00,3300.97,1125570
41,ADANIENT,2024-02-28,3309.20,3219.00,3318.80,3207.50,3217.70,1358879
42,ADANIENT,2024-02-29,3220.05,3285.40,3304.75,3205.35,3284.08,1352988
43,ADANIENT,2024-03-01,3309.85,3318.75,3346.00,3281.80,3317.41,1161067
44,ADANIENT,2024-03-04,3335.00,3317.15,3350.00,3310.05,3315.81,1061244
45,ADANIENT,2024-03-05,3325.30,3310.20,3334.00,3295.05,3308.87,1190416
46,ADANIENT,2024-03-06,3323.00,3233.95,3323.00,3183.15,3232.65,1935203
47,ADANIENT,2024-03-07,3240.00,3226.55,3262.00,3220.00,3225.25,856328
48,ADANIENT,2024-03-11,3241.20,3207.35,3259.00,3200.00,3206.06,738851
49,ADANIENT,2024-03-12,3207.35,3122.50,3222.70,3111.00,3121.24,1199487
50,ADANIENT,2024-03-13,3125.00,2906.20,3138.05,2850.15,2905.03,3407040
51,ADANIENT,2024-03-14,2927.45,3087.45,3101.20,2880.00,3086.21,3759100
52,ADANIENT,2024-03-15,3111.00,3132.20,3143.40,3061.25,3130.94,2199094
53,ADANIENT,2024-03-18,3050.10,3111.75,3124.00,2976.05,3110.50,3042515
54,ADANIENT,2024-03-19,3126.00,3052.70,3164.80,3041.85,3051.47,1460452
55,ADANIENT,2024-03-20,3075.00,3051.45,3083.20,3021.10,3050.22,966481
56,ADANIENT,2024-03-21,3089.55,3066.50,3107.10,3059.60,3065.26,1175751
57,ADANIENT,2024-03-22,3066.55,3107.70,3128.95,3048.05,3106.45,951557
58,ADANIENT,2024-03-26,3100.50,3109.95,3171.95,3089.10,3108.70,937103
59,ADANIENT,2024-03-27,3115.00,3122.10,3138.45,3106.25,3120.84,900231
60,ADANIENT,2024-03-28,3134.00,3197.10,3237.00,3096.75,3195.81,2327053
61,ADANIENT,2024-04-01,3230.20,3252.10,3291.80,3207.85,3250.79,1292646
62,ADANIENT,2024-04-02,3258.95,3268.75,3285.00,3240.00,3267.43,868829
63,ADANIENT,2024-04-03,3250.00,3233.45,3260.15,3222.00,3232.15,1153109
64,ADANIENT,2024-04-04,3250.00,3210.80,3273.00,3201.70,3209.51,1403826
65,ADANIENT,2024-04-05,3211.10,3224.80,3234.00,3178.95,3223.50,755607
66,ADANIENT,2024-04-08,3240.95,3224.55,3243.50,3197.20,3223.25,577440
67,ADANIENT,2024-04-09,3240.70,3198.45,3251.00,3185.00,3197.16,833679
68,ADANIENT,2024-04-10,3200.00,3242.00,3254.60,3192.50,3240.69,1441138
69,ADANIENT,2024-04-12,3210.00,3209.90,3247.50,3205.30,3208.61,705173
70,ADANIENT,2024-04-15,3150.00,3147.45,3180.30,3103.20,3146.18,1035378
71,ADANIENT,2024-04-16,3101.00,3106.40,3149.20,3100.00,3105.15,1134184
